studentID,hours,sleep,prev,grade
1,2,0,91,45
2,4,1,71,75
3,5,1,75,89
4,7,1,68,100
5,5,1,82,94
6,7,0,81,86
7,6,1,84,93
8,4,1,65,89
9,4,0,61,60
10,5,1,86,79
11,7,0,84,85
12,6,1,97,73
13,6,1,92,90
14,6,1,89,80
15,3,0,67,66
16,4,1,69,69
17,4,0,72,60
18,7,0,72,83
19,6,1,62,94
20,3,0,69,44
21,7,0,76,98
22,6,0,69,74
23,4,0,74,75
24,4,0,79,68
25,1,0,77,47
26,8,1,65,100
27,3,1,68,87
28,6,0,73,88
29,6,0,70,88
30,4,0,70,72
31,6,0,59,79
32,5,0,82,80
33,7,1,89,100
34,4,0,60,68
35,5,1,69,74
36,4,1,87,83
37,3,1,82,74
38,4,0,91,54
39,5,1,69,79
40,6,1,64,75
41,4,0,81,66
42,3,0,73,61
43,4,1,87,87
44,4,0,72,66
45,6,1,56,73
46,5,1,70,82
47,7,0,83,100
48,4,1,60,84
49,5,0,96,85
50,5,1,66,80
51,6,1,84,68
52,4,1,92,88
53,5,0,45,67
54,6,1,77,91
55,6,0,86,100
56,1,0,54,55
57,4,0,73,92
58,4,1,65,74
59,4,0,84,85
60,6,1,84,76
61,7,0,85,82
62,7,0,87,81
63,3,1,78,73
64,4,1,75,98
65,4,0,79,72
66,6,1,81,87
67,8,0,72,84
68,4,0,75,72
69,5,1,71,76
70,5,1,61,92
71,4,1,65,93
72,3,0,85,65
73,3,0,73,64
74,7,0,80,88
75,5,1,76,100
76,6,0,68,96
77,5,0,94,84
78,5,0,76,91
79,5,0,75,61
80,2,0,77,76
81,9,1,70,100
82,5,1,86,72
83,3,1,77,73
84,5,1,62,100
85,6,1,76,86
86,6,1,73,85
87,4,1,89,93
88,7,0,72,85
89,7,1,66,53
90,5,1,66,88
91,5,0,85,57
92,7,0,54,78
93,4,0,75,71
94,5,0,81,81
95,4,0,75,76
96,5,0,70,83
97,5,0,68,58
98,6,0,74,77
99,7,1,78,97
100,5,0,73,72
